FFT	AudioTools 	v14.8.6 iPad battery  34%	2021/04/29 17:52	Headset Mic 3 Low Range	EB05A3E2-10AC-49FE-A287-06AC06EBE5AD
Frequency	dB	Unweighted
20.000000 84.900000 12.2246
22.400000 84.890617 19.2644
25.000000 84.947411 15.1833
28.000000 84.955582 11.0820
31.500000 84.907990 6.9520
35.500000 84.813896 2.9699
40.000000 84.672775 -0.9130
45.000000 84.467682 -4.4862
50.000000 84.241264 -7.5932
56.000000 83.939781 -10.6826
63.000000 83.566032 -13.6329
71.000000 83.126709 -16.2836
80.000000 82.638336 -18.4992
90.000000 82.067825 -20.3232
100.000000 81.434586 -20.8947
112.000000 81.121605 -20.1323
125.000000 80.551781 -21.4845
140.000000 79.857231 -21.0612
160.000000 78.902397 -18.2047
180.000000 78.678551 -15.4499
200.000000 78.012497 -12.9791
224.000000 77.420303 -7.7130
250.000000 76.783974 -2.1469
280.000000 76.241829 2.1897
315.000000 75.917061 3.2955
355.000000 75.891121 0.1420
400.000000 75.984177 0.0000
450.000000 76.153549 0.0000
500.000000 76.320297 0.0000
560.000000 76.458755 0.0000
630.000000 76.473473 0.0000
710.000000 76.328171 0.0000
800.000000 76.103302 0.0000
900.000000 75.982521 0.0000
1000.000000 76.203407 0.0000
1120.000000 76.922066 0.0000
1250.000000 77.917252 0.0000
1400.000000 78.996155 0.0000
1600.000000 80.348068 0.0000
1800.000000 81.775780 0.0000
2000.000000 83.026329 0.0000
2240.000000 83.593933 0.0000
2500.000000 81.599464 0.0000
2800.000000 80.019814 0.0000
3150.000000 79.490707 0.0000
3550.000000 79.158424 0.0000
4000.000000 79.482170 0.0000
4500.000000 80.432159 0.0000
5000.000000 82.372314 0.0000
5600.000000 79.940735 0.0000
6300.000000 78.596107 0.0000
7100.000000 77.731972 0.0000
8000.000000 76.809875 0.0000
9000.000000 76.138397 0.0000
10000.000000 75.053276 0.0000
11200.000000 73.795708 0.0000
12500.000000 72.940254 0.0000
14000.000000 72.253159 0.0000
16000.000000 71.541428 0.0000
18000.000000 71.084595 0.0000
20000.000000 71.000000 0.0000
