* Measurement data measured by REW V5.20
* Source: /Users/mrs/Desktop/HBB/Ready/IEF Comp Target.txt
* Format: Comma/Tab/Space delimited data
* Dated: Sep 20, 2023 8:44:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from /Users/mrs/Desktop/HBB/Ready/IEF Comp Target.txt Format: Comma/Tab/Space delimited data 480 values loaded, 20 Hz to 19,753 Hz log spaced
* Measurement: IEF Comp Target
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	1.756000	0
20.299999	1.758091	0
20.600000	1.775207	0
20.900000	1.808750	0
21.200001	1.838057	0
21.400000	1.857840	0
21.799999	1.893994	0
22.000000	1.911464	0
22.400000	1.944652	0
22.700001	1.949170	0
23.000000	1.971340	0
23.299999	1.998840	0
23.600000	2.023025	0
24.000000	2.053978	0
24.299999	2.074985	0
24.700001	2.099610	0
25.000000	2.116238	0
25.400000	2.116793	0
25.799999	2.145116	0
26.200001	2.171939	0
26.500000	2.189003	0
26.900000	2.210983	0
27.200001	2.226156	0
27.600000	2.245343	0
28.000000	2.258189	0
28.500000	2.258347	0
29.000000	2.286685	0
29.500000	2.309105	0
30.000000	2.328925	0
30.400000	2.341999	0
30.700001	2.351905	0
31.100000	2.363984	0
31.500000	2.356506	0
32.000000	2.367952	0
32.500000	2.386713	0
33.000000	2.402059	0
33.500000	2.415123	0
34.000000	2.425536	0
34.500000	2.431761	0
35.000000	2.438972	0
35.500000	2.440707	0
36.000000	2.448182	0
36.500000	2.460681	0
37.000000	2.471123	0
37.500000	2.480002	0
38.200001	2.484907	0
38.700001	2.482376	0
39.500000	2.495825	0
40.000000	2.505996	0
40.599998	2.517976	0
41.200001	2.528190	0
41.799999	2.538566	0
42.500000	2.529374	0
43.099998	2.534187	0
43.700001	2.548563	0
44.400002	2.562179	0
45.000000	2.572825	0
45.500000	2.580391	0
