* Measurement data measured by REW V5.20.13
* Source: Trace Arithmetic result 1 / A
* Format: Trace Arithmetic result 1 / A
* Dated: Jul 28, 2023 12:24:36 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic 1/A A = EQ HBB ∆
* Measurement: 1/A
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	-1.030
20.299999	-1.016
20.600000	-0.991
20.900000	-0.962
21.200001	-0.933
21.400000	-0.913
21.799999	-0.875
22.000000	-0.857
22.400000	-0.821
22.700001	-0.794
23.000000	-0.769
23.299999	-0.745
23.600000	-0.721
24.000000	-0.690
24.299999	-0.668
24.700001	-0.640
25.000000	-0.620
25.400000	-0.594
25.799999	-0.569
26.200001	-0.544
26.500000	-0.527
26.900000	-0.505
27.200001	-0.489
27.600000	-0.468
28.000000	-0.448
28.500000	-0.424
29.000000	-0.401
29.500000	-0.380
30.000000	-0.360
30.400000	-0.345
30.700001	-0.334
31.100000	-0.320
31.500000	-0.307
32.000000	-0.291
32.500000	-0.275
33.000000	-0.260
33.500000	-0.246
34.000000	-0.233
34.500000	-0.220
35.000000	-0.208
35.500000	-0.196
36.000000	-0.185
36.500000	-0.174
37.000000	-0.163
37.500000	-0.152
38.200001	-0.137
38.700001	-0.127
39.500000	-0.111
40.000000	-0.102
40.599998	-0.090
41.200001	-0.078
41.799999	-0.066
42.500000	-0.053
43.099998	-0.042
43.700001	-0.031
44.400002	-0.018
45.000000	-0.007
45.500000	0.002
46.200001	0.014
46.799999	0.025
47.500000	0.038
48.200001	0.050
48.700001	0.059
49.400002	0.071
50.000000	0.081
50.799999	0.095
51.500000	0.107
52.200001	0.118
53.000000	0.131
53.799999	0.144
54.500000	0.155
55.200001	0.166
56.000000	0.178
57.000000	0.193
58.000000	0.207
59.000000	0.221
60.000000	0.235
60.799999	0.245
61.500000	0.254
62.200001	0.262
63.000000	0.271
64.000000	0.282
65.000000	0.294
66.000000	0.304
67.000000	0.315
68.000000	0.324
69.000000	0.333
70.000000	0.341
71.000000	0.349
72.000000	0.356
73.000000	0.363
74.000000	0.370
75.000000	0.376
76.199997	0.382
77.500000	0.388
78.800003	0.394
80.000000	0.399
81.199997	0.403
82.500000	0.406
83.800003	0.409
85.000000	0.412
86.199997	0.414
87.500000	0.415
88.500000	0.416
90.000000	0.417
91.199997	0.417
92.500000	0.417
93.800003	0.416
95.000000	0.415
96.199997	0.415
97.500000	0.413
98.800003	0.412
100.000000	0.410
101.500000	0.408
103.000000	0.406
104.400002	0.403
106.000000	0.400
107.500000	0.397
109.000000	0.394
110.599998	0.391
112.000000	0.388
113.800003	0.384
115.000000	0.381
117.199997	0.376
118.000000	0.374
120.599998	0.368
122.000000	0.365
124.099998	0.361
125.000000	0.359
126.500000	0.355
128.000000	0.352
131.500000	0.345
132.000000	0.343
134.000000	0.339
136.000000	0.335
138.000000	0.331
140.000000	0.327
143.000000	0.321
145.000000	0.317
147.500000	0.312
150.000000	0.306
152.500000	0.300
155.000000	0.295
157.500000	0.291
160.000000	0.285
162.500000	0.279
165.000000	0.274
167.500000	0.269
170.000000	0.263
172.500000	0.257
175.000000	0.252
177.500000	0.246
180.000000	0.240
182.500000	0.234
185.000000	0.228
187.500000	0.221
190.000000	0.215
192.500000	0.208
195.000000	0.201
197.500000	0.194
200.000000	0.187
203.000000	0.178
206.000000	0.170
209.000000	0.161
212.000000	0.152
214.000000	0.145
218.000000	0.132
220.000000	0.126
224.000000	0.114
227.000000	0.105
230.000000	0.096
233.000000	0.086
236.000000	0.077
240.000000	0.064
243.000000	0.054
247.000000	0.042
250.000000	0.033
254.000000	0.021
258.000000	0.010
262.000000	-0.001
265.000000	-0.010
269.000000	-0.020
272.000000	-0.027
276.000000	-0.037
280.000000	-0.045
285.000000	-0.055
290.000000	-0.065
295.000000	-0.073
300.000000	-0.081
304.000000	-0.086
307.000000	-0.089
311.000000	-0.093
315.000000	-0.097
320.000000	-0.100
325.000000	-0.103
330.000000	-0.105
335.000000	-0.106
340.000000	-0.108
345.000000	-0.109
350.000000	-0.109
355.000000	-0.109
360.000000	-0.109
365.000000	-0.108
370.000000	-0.108
375.000000	-0.107
382.000000	-0.106
387.000000	-0.106
395.000000	-0.105
400.000000	-0.105
406.000000	-0.105
412.000000	-0.104
418.000000	-0.104
425.000000	-0.104
431.000000	-0.103
437.000000	-0.104
444.000000	-0.104
450.000000	-0.105
455.000000	-0.105
462.000000	-0.106
468.000000	-0.106
475.000000	-0.106
482.000000	-0.107
487.000000	-0.107
494.000000	-0.107
500.000000	-0.106
508.000000	-0.105
515.000000	-0.104
522.000000	-0.103
530.000000	-0.101
538.000000	-0.099
545.000000	-0.098
552.000000	-0.096
560.000000	-0.094
570.000000	-0.092
580.000000	-0.089
590.000000	-0.086
600.000000	-0.084
608.000000	-0.082
615.000000	-0.081
622.000000	-0.080
630.000000	-0.078
640.000000	-0.076
650.000000	-0.074
660.000000	-0.073
670.000000	-0.071
680.000000	-0.069
690.000000	-0.068
700.000000	-0.067
710.000000	-0.065
720.000000	-0.063
730.000000	-0.061
740.000000	-0.060
750.000000	-0.058
762.000000	-0.057
775.000000	-0.057
788.000000	-0.057
800.000000	-0.057
812.000000	-0.057
825.000000	-0.058
838.000000	-0.058
850.000000	-0.059
862.000000	-0.059
875.000000	-0.061
