* Measurement data measured by REW V5.20
* Source: /Users/mrs/Desktop/HBB/Ready/Super 22 Comp Target.txt
* Format: Comma/Tab/Space delimited data
* Dated: Sep 20, 2023 8:44:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from /Users/mrs/Desktop/HBB/Ready/Super 22 Comp Target.txt Format: Comma/Tab/Space delimited data 480 values loaded, 20 Hz to 19,753 Hz log spaced
* Measurement: Super 22 Comp Target
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	2.522663	0
20.299999	2.547173	0
20.600000	2.589935	0
20.900000	2.637548	0
21.200001	2.684130	0
21.400000	2.714962	0
21.799999	2.772943	0
22.000000	2.799123	0
22.400000	2.848943	0
22.700001	2.885779	0
23.000000	2.918941	0
23.299999	2.950732	0
23.600000	2.980600	0
24.000000	3.018723	0
24.299999	3.044714	0
24.700001	3.077050	0
25.000000	3.099247	0
25.400000	3.127874	0
25.799999	3.153829	0
26.200001	3.179698	0
26.500000	3.196473	0
26.900000	3.216869	0
27.200001	3.231724	0
27.600000	3.249542	0
28.000000	3.266412	0
28.500000	3.285317	0
29.000000	3.301504	0
29.500000	3.315939	0
30.000000	3.328614	0
30.400000	3.336582	0
30.700001	3.341745	0
31.100000	3.348802	0
31.500000	3.353242	0
32.000000	3.358893	0
32.500000	3.363794	0
33.000000	3.367874	0
33.500000	3.370151	0
34.000000	3.370823	0
34.500000	3.372314	0
35.000000	3.372465	0
35.500000	3.373271	0
36.000000	3.371810	0
36.500000	3.371075	0
37.000000	3.369774	0
37.500000	3.369529	0
38.200001	3.369604	0
38.700001	3.367943	0
39.500000	3.366201	0
40.000000	3.364781	0
40.599998	3.364229	0
41.200001	3.364866	0
41.799999	3.364712	0
42.500000	3.364659	0
43.099998	3.365759	0
43.700001	3.366274	0
44.400002	3.367794	0
45.000000	3.369520	0
45.500000	3.370454	0
46.200001	3.371572	0
46.799999	3.374761	0
47.500000	3.378220	0
48.200001	3.380881	0
48.700001	3.383409	0
49.400002	3.387295	0
50.000000	3.390263	0
50.799999	3.395588	0
51.500000	3.399899	0
52.200001	3.403326	0
53.000000	3.408006	0
53.799999	3.412758	0
54.500000	3.416301	0
55.200001	3.419852	0
56.000000	3.424467	0
57.000000	3.429371	0
58.000000	3.432090	0
59.000000	3.436176	0
60.000000	3.438101	0
60.799999	3.439451	0
61.500000	3.438660	0
62.200001	3.437560	0
63.000000	3.435404	0
64.000000	3.433021	0
65.000000	3.431432	0
66.000000	3.428064	0
67.000000	3.425271	0
68.000000	3.419150	0
69.000000	3.413716	0
70.000000	3.407650	0
71.000000	3.400718	0
72.000000	3.393051	0
73.000000	3.385599	0
74.000000	3.378292	0
75.000000	3.369323	0
76.199997	3.357774	0
77.500000	3.343844	0
78.800003	3.330167	0
80.000000	3.316703	0
81.199997	3.302552	0
82.500000	3.285953	0
83.800003	3.268877	0
85.000000	3.254409	0
86.199997	3.237662	0
87.500000	3.219348	0
88.500000	3.205182	0
90.000000	3.183228	0
91.199997	3.164496	0
92.500000	3.145314	0
93.800003	3.124501	0
95.000000	3.105466	0
96.199997	3.087473	0
97.500000	3.066533	0
98.800003	3.045650	0
100.000000	3.026504	0
101.500000	3.003318	0
103.000000	2.978473	0
104.400002	2.956261	0
106.000000	2.930653	0
107.500000	2.907656	0
109.000000	2.883976	0
110.599998	2.859271	0
112.000000	2.838342	0
113.800003	2.810685	0
115.000000	2.791834	0
117.199997	2.758856	0
118.000000	2.747157	0
120.599998	2.709199	0
122.000000	2.689772	0
124.099998	2.661524	0
125.000000	2.649212	0
126.500000	2.628325	0
128.000000	2.608522	0
131.500000	2.563970	0
132.000000	2.557225	0
134.000000	2.531328	0
136.000000	2.506425	0
138.000000	2.483494	0
140.000000	2.460155	0
143.000000	2.425930	0
145.000000	2.403305	0
147.500000	2.376866	0
150.000000	2.349026	0
152.500000	2.321524	0
155.000000	2.295483	0
157.500000	2.271618	0
160.000000	2.246271	0
162.500000	2.220240	0
165.000000	2.195582	0
167.500000	2.173060	0
170.000000	2.149042	0
172.500000	2.124429	0
175.000000	2.101772	0
177.500000	2.078773	0
180.000000	2.056760	0
182.500000	2.034235	0
185.000000	2.011829	0
187.500000	1.987783	0
190.000000	1.965902	0
192.500000	1.943383	0
195.000000	1.921010	0
197.500000	1.898906	0
200.000000	1.877005	0
203.000000	1.849854	0
206.000000	1.823992	0
209.000000	1.798438	0
212.000000	1.772178	0
214.000000	1.754801	0
218.000000	1.719496	0
220.000000	1.702503	0
224.000000	1.669862	0
227.000000	1.645018	0
230.000000	1.620274	0
233.000000	1.594904	0
236.000000	1.570673	0
240.000000	1.537801	0
243.000000	1.513159	0
247.000000	1.481924	0
250.000000	1.458785	0
254.000000	1.429196	0
258.000000	1.399984	0
262.000000	1.371125	0
265.000000	1.349909	0
269.000000	1.321627	0
272.000000	1.301809	0
276.000000	1.276131	0
280.000000	1.251620	0
285.000000	1.221481	0
290.000000	1.191803	0
295.000000	1.164398	0
300.000000	1.137563	0
304.000000	1.118702	0
307.000000	1.104731	0
311.000000	1.086336	0
315.000000	1.069200	0
320.000000	1.049782	0
325.000000	1.029770	0
330.000000	1.012038	0
335.000000	0.995595	0
340.000000	0.978644	0
345.000000	0.962796	0
350.000000	0.947388	0
355.000000	0.933227	0
360.000000	0.920313	0
365.000000	0.907679	0
370.000000	0.894394	0
375.000000	0.882281	0
382.000000	0.865012	0
387.000000	0.853533	0
395.000000	0.836357	0
400.000000	0.824536	0
406.000000	0.811355	0
412.000000	0.799501	0
418.000000	0.787948	0
425.000000	0.774414	0
431.000000	0.764278	0
437.000000	0.751814	0
444.000000	0.740032	0
450.000000	0.729145	0
455.000000	0.721280	0
462.000000	0.709673	0
468.000000	0.701268	0
475.000000	0.691142	0
482.000000	0.680503	0
487.000000	0.674639	0
494.000000	0.665491	0
500.000000	0.660211	0
508.000000	0.652699	0
515.000000	0.646231	0
522.000000	0.640066	0
530.000000	0.634412	0
538.000000	0.629123	0
545.000000	0.624736	0
552.000000	0.620592	0
560.000000	0.616154	0
570.000000	0.610974	0
580.000000	0.605270	0
590.000000	0.599941	0
600.000000	0.594053	0
608.000000	0.588213	0
615.000000	0.581988	0
622.000000	0.575846	0
630.000000	0.568658	0
640.000000	0.557306	0
650.000000	0.544260	0
660.000000	0.529576	0
670.000000	0.514244	0
680.000000	0.498069	0
690.000000	0.478447	0
700.000000	0.457000	0
710.000000	0.434926	0
720.000000	0.413006	0
730.000000	0.389525	0
740.000000	0.365347	0
750.000000	0.342370	0
762.000000	0.312130	0
775.000000	0.279501	0
788.000000	0.246528	0
800.000000	0.215988	0
812.000000	0.187071	0
825.000000	0.154488	0
838.000000	0.122949	0
850.000000	0.094361	0
862.000000	0.067982	0
875.000000	0.038678	0
885.000000	0.017242	0
900.000000	-0.014243	0
912.000000	-0.037091	0
925.000000	-0.058960	0
938.000000	-0.073614	0
950.000000	-0.080396	0
962.000000	-0.080428	0
975.000000	-0.069462	0
988.000000	-0.044276	0
1000.000000	-0.007775	0
1015.000000	0.054939	0
1030.000000	0.137317	0
1044.000000	0.228803	0
1060.000000	0.349048	0
1075.000000	0.473701	0
1090.000000	0.607214	0
1106.000000	0.755397	0
1120.000000	0.888888	0
1138.000000	1.064316	0
1150.000000	1.183428	0
1172.000000	1.403856	0
1180.000000	1.483957	0
1206.000000	1.742310	0
1220.000000	1.879972	0
1241.000000	2.080185	0
1250.000000	2.163229	0
1265.000000	2.296862	0
1280.000000	2.425156	0
1315.000000	2.698030	0
1320.000000	2.734931	0
1340.000000	2.875951	0
1360.000000	3.007750	0
1380.000000	3.129086	0
1400.000000	3.242857	0
1430.000000	3.406148	0
1450.000000	3.511329	0
1475.000000	3.639718	0
1500.000000	3.764140	0
1525.000000	3.886471	0
1550.000000	4.005897	0
1575.000000	4.123436	0
1600.000000	4.240079	0
1625.000000	4.354976	0
1650.000000	4.469174	0
1675.000000	4.583648	0
1700.000000	4.697554	0
1725.000000	4.811814	0
1750.000000	4.926644	0
1775.000000	5.042867	0
1800.000000	5.159779	0
1825.000000	5.278122	0
1850.000000	5.395240	0
1875.000000	5.514950	0
1900.000000	5.634409	0
1925.000000	5.753548	0
1950.000000	5.872635	0
1975.000000	5.993260	0
2000.000000	6.111893	0
2030.000000	6.253210	0
2060.000000	6.391027	0
2090.000000	6.527207	0
2120.000000	6.659883	0
2140.000000	6.747224	0
2180.000000	6.920726	0
2200.000000	7.004132	0
2240.000000	7.167888	0
2270.000000	7.287202	0
