* Measurement data measured by REW V5.20.13
* Source: Trace Arithmetic result A / B
* Format: Trace Arithmetic result A / B
* Dated: Jul 27, 2023 11:07:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic A over B A = Delta B = EQ HBB ∆
* Measurement: A over B
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	2.493
20.299999	2.514
20.600000	2.550
20.900000	2.593
21.200001	2.636
21.400000	2.664
21.799999	2.720
22.000000	2.746
22.400000	2.798
22.700001	2.836
23.000000	2.871
23.299999	2.905
23.600000	2.938
24.000000	2.980
24.299999	3.009
24.700001	3.047
25.000000	3.074
25.400000	3.108
25.799999	3.141
26.200001	3.172
26.500000	3.194
26.900000	3.221
27.200001	3.240
27.600000	3.265
28.000000	3.289
28.500000	3.316
29.000000	3.341
29.500000	3.364
30.000000	3.385
30.400000	3.400
30.700001	3.410
31.100000	3.423
31.500000	3.434
32.000000	3.447
32.500000	3.460
33.000000	3.472
33.500000	3.481
34.000000	3.489
34.500000	3.496
35.000000	3.503
35.500000	3.509
36.000000	3.514
36.500000	3.519
37.000000	3.524
37.500000	3.528
38.200001	3.534
38.700001	3.537
39.500000	3.542
40.000000	3.545
40.599998	3.549
41.200001	3.553
41.799999	3.557
42.500000	3.561
43.099998	3.565
43.700001	3.569
44.400002	3.574
45.000000	3.578
45.500000	3.581
46.200001	3.586
46.799999	3.590
47.500000	3.595
48.200001	3.600
48.700001	3.603
49.400002	3.608
50.000000	3.612
50.799999	3.618
51.500000	3.623
52.200001	3.627
53.000000	3.632
53.799999	3.637
54.500000	3.641
55.200001	3.645
56.000000	3.649
57.000000	3.654
58.000000	3.657
59.000000	3.661
60.000000	3.664
60.799999	3.666
61.500000	3.667
62.200001	3.667
63.000000	3.668
64.000000	3.668
65.000000	3.668
66.000000	3.667
67.000000	3.666
68.000000	3.664
69.000000	3.661
70.000000	3.657
71.000000	3.653
72.000000	3.648
73.000000	3.643
74.000000	3.637
75.000000	3.631
76.199997	3.622
77.500000	3.612
78.800003	3.602
80.000000	3.593
81.199997	3.582
82.500000	3.570
83.800003	3.557
85.000000	3.546
86.199997	3.534
87.500000	3.520
88.500000	3.509
90.000000	3.492
91.199997	3.478
92.500000	3.463
93.800003	3.447
95.000000	3.432
96.199997	3.417
97.500000	3.400
98.800003	3.383
100.000000	3.367
101.500000	3.347
103.000000	3.326
104.400002	3.306
106.000000	3.284
107.500000	3.262
109.000000	3.240
110.599998	3.217
112.000000	3.197
113.800003	3.171
115.000000	3.153
117.199997	3.120
118.000000	3.108
120.599998	3.070
122.000000	3.051
124.099998	3.021
125.000000	3.009
126.500000	2.988
128.000000	2.967
131.500000	2.920
132.000000	2.913
134.000000	2.886
136.000000	2.861
138.000000	2.837
140.000000	2.814
143.000000	2.778
145.000000	2.756
147.500000	2.728
150.000000	2.701
152.500000	2.674
155.000000	2.649
157.500000	2.625
160.000000	2.601
162.500000	2.577
165.000000	2.553
167.500000	2.531
170.000000	2.508
172.500000	2.486
175.000000	2.465
177.500000	2.443
180.000000	2.423
182.500000	2.402
185.000000	2.381
187.500000	2.360
190.000000	2.340
192.500000	2.320
195.000000	2.300
197.500000	2.281
200.000000	2.262
203.000000	2.239
206.000000	2.218
209.000000	2.197
212.000000	2.176
214.000000	2.162
218.000000	2.134
220.000000	2.121
224.000000	2.096
227.000000	2.078
230.000000	2.061
233.000000	2.044
236.000000	2.027
240.000000	2.005
243.000000	1.990
247.000000	1.970
250.000000	1.956
254.000000	1.937
258.000000	1.919
262.000000	1.901
265.000000	1.888
269.000000	1.870
272.000000	1.858
276.000000	1.842
280.000000	1.827
285.000000	1.809
290.000000	1.792
295.000000	1.775
300.000000	1.760
304.000000	1.748
307.000000	1.740
311.000000	1.730
315.000000	1.720
320.000000	1.710
325.000000	1.700
330.000000	1.691
335.000000	1.683
340.000000	1.674
345.000000	1.667
350.000000	1.660
355.000000	1.654
360.000000	1.648
365.000000	1.642
370.000000	1.636
375.000000	1.629
382.000000	1.620
387.000000	1.613
395.000000	1.600
400.000000	1.591
406.000000	1.580
412.000000	1.569
418.000000	1.557
425.000000	1.542
431.000000	1.528
437.000000	1.513
444.000000	1.496
450.000000	1.480
455.000000	1.468
462.000000	1.450
468.000000	1.434
475.000000	1.415
482.000000	1.395
487.000000	1.382
494.000000	1.362
500.000000	1.346
508.000000	1.323
515.000000	1.303
522.000000	1.283
530.000000	1.261
538.000000	1.238
545.000000	1.218
552.000000	1.198
560.000000	1.175
570.000000	1.146
580.000000	1.118
590.000000	1.090
600.000000	1.062
608.000000	1.038
615.000000	1.017
622.000000	0.996
630.000000	0.972
640.000000	0.940
650.000000	0.906
660.000000	0.872
670.000000	0.837
680.000000	0.800
690.000000	0.761
700.000000	0.721
710.000000	0.681
720.000000	0.641
730.000000	0.600
740.000000	0.560
750.000000	0.520
762.000000	0.472
775.000000	0.420
788.000000	0.370
800.000000	0.325
812.000000	0.282
825.000000	0.238
838.000000	0.196
850.000000	0.159
862.000000	0.124
875.000000	0.088
885.000000	0.062
900.000000	0.024
912.000000	-0.004
925.000000	-0.031
938.000000	-0.053
950.000000	-0.068
962.000000	-0.078
975.000000	-0.082
988.000000	-0.075
1000.000000	-0.059
1015.000000	-0.026
